City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Faanui,PF,81.64,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
17,Chalchihuites,MX,82.17,few clouds,23.4833,-103.8833,Hotel chalchihuites
20,Ahuimanu,US,82.11,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
24,Axim,GH,79.56,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
28,Rikitea,PF,76.98,light rain,-23.1203,-134.9692,People ThankYou
30,Avarua,CK,84.25,overcast clouds,-21.2078,-159.775,Paradise Inn
31,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
32,Manzanillo,CU,77.63,moderate rain,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
35,Dingle,PH,80.49,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
39,Suclayin,PH,78.8,broken clouds,15.7568,121.5503,Costa Pacifica
41,Arlit,NE,83.28,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
49,Ormara,PK,81.55,clear sky,25.2088,64.6357,Kenara Colony house for Rent
50,Bandarbeyla,SO,80.78,overcast clouds,9.4942,50.8122,JABIR HOTEL
52,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
56,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
57,Porto Novo,BJ,81.14,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
60,Zafarwal,PK,75.36,clear sky,32.3463,74.8999,Jaafri Chowk
65,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
72,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
76,Alta Floresta,BR,75.52,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
79,Kismayo,SO,82.17,clear sky,-0.3582,42.5454,Agan-Hotel
80,Hilo,US,83.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
83,Sao Geraldo Do Araguaia,BR,75.61,few clouds,-6.4006,-48.555,Hotel Por do Sol
89,Mount Pleasant,US,80.74,clear sky,32.7941,-79.8626,Best Western Patriots Point
90,Takoradi,GH,80.31,scattered clouds,4.8845,-1.7554,Raybow International Hotel
97,Butaritari,KI,80.38,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
105,Tecoanapa,MX,85.19,clear sky,16.5167,-98.75,Hotel Manglares
114,Pacora,PA,85.21,scattered clouds,9.0833,-79.2833,Residencia Los Años Dorados
115,Gushikawa,JP,78.39,overcast clouds,26.3544,127.8686,Kirari Guest House
128,Hambantota,LK,79.11,few clouds,6.1241,81.1185,Bungalow 63
